id,municipio,codmun
247,Vale de Cambra,0119
248,Valença,1608
249,Valongo,1315
250,Valpaços,1712
251,Vendas Novas,0712
252,Viana do Alentejo,0713
253,Viana do Castelo,1609
254,Vidigueira,0214
255,Vieira do Minho,0311
256,Vila de Rei,0510
257,Vila do Bispo,0815
258,Vila do Conde,1316
259,Vila Flor,0410
260,Vila Franca de Xira,1114
261,Vila Nova da Barquinha,1420
262,Vila Nova de Cerveira,1610
263,Vila nova de Famalicão,0312
264,Vila Nova de Foz Côa,0914
265,Vila Nova de Gaia,1317
266,Vila Nova de Paiva,1822
267,Vila Nova de Poiares,0617
268,Vila Pouca de Aguiar,1713
269,Vila real,1714
270,Vila Real de Santo António,0816
271,Vila velha de Ródão,0511
272,Vila verde,0313
273,Vila viçosa,0714
274,Vimioso,0411
275,Vinhais,0412
276,Viseu,1823
277,Vizela,0314
278,Vouzela,1824
